Field of Study;Age;Gender;Education Level;Years of Experience;Family Influence
Computer Science;26;Male;Master's;37;Low
Law;51;Male;PhD;15;High
Computer Science;48;Male;High School;37;None
Computer Science;36;Female;PhD;31;High
Education;20;Male;Master's;1;High
Mechanical Engineering;42;Male;Bachelor's;32;Low
Economics;55;Male;High School;11;High
Psychology;41;Female;High School;36;Medium
Biology;53;Male;High School;0;Low
Economics;41;Male;Bachelor's;15;High
Computer Science;46;Male;High School;21;None
Biology;22;Female;High School;25;None
Arts;38;Female;High School;39;High
Business;30;Female;Bachelor's;14;Medium
Computer Science;21;Male;PhD;23;None
Law;34;Male;PhD;23;None
Mechanical Engineering;52;Male;High School;14;Low
Arts;45;Male;Master's;29;Medium
Mechanical Engineering;47;Male;Bachelor's;3;Medium
Mechanical Engineering;50;Male;PhD;20;High
Education;42;Male;Master's;12;Low
Business;40;Female;Bachelor's;39;High
Biology;26;Male;High School;1;High
Medicine;41;Female;Master's;3;High
Education;54;Male;PhD;18;None
Arts;54;Male;PhD;14;Medium
Arts;49;Female;PhD;24;High
Biology;38;Male;Master's;36;High
Economics;58;Male;Master's;1;Low
Biology;43;Male;Bachelor's;5;High
Medicine;59;Male;High School;14;None
Education;58;Male;High School;36;Medium
Computer Science;33;Female;High School;15;Medium
Education;24;Female;Bachelor's;9;High
Business;37;Male;PhD;2;High
Education;43;Female;Bachelor's;12;None
Education;36;Male;High School;26;High
Law;47;Female;Master's;3;Low
Education;34;Female;Master's;11;High
Business;32;Female;High School;4;Medium
Law;59;Female;Bachelor's;31;Medium
Business;44;Female;Bachelor's;8;High
Medicine;33;Male;PhD;31;High
Biology;49;Male;High School;21;Medium
Psychology;51;Male;Bachelor's;3;High
Arts;22;Male;Master's;37;Medium
Business;34;Female;PhD;32;None
Biology;29;Male;PhD;10;Medium
Law;22;Male;Bachelor's;28;Medium
Mechanical Engineering;37;Female;Bachelor's;23;None
Medicine;21;Female;Bachelor's;25;High
Biology;43;Male;Bachelor's;14;None
Arts;56;Female;High School;27;High
Arts;44;Female;Master's;19;None
Computer Science;33;Female;PhD;22;High
Biology;53;Female;Master's;7;Medium
Computer Science;44;Female;Master's;12;Medium
Psychology;53;Female;PhD;29;None
Business;57;Male;High School;35;Low
Biology;54;Female;Bachelor's;2;Low
Education;46;Male;Bachelor's;26;High
Computer Science;33;Female;High School;28;Low
Biology;32;Female;Master's;37;High
Education;35;Female;Master's;29;Low
Medicine;22;Male;Master's;17;None
Law;31;Male;High School;20;Low
Economics;29;Female;High School;35;Low
Law;23;Male;Master's;35;None
Mechanical Engineering;42;Female;High School;20;Medium
Mechanical Engineering;27;Female;Bachelor's;4;High
Psychology;53;Male;Master's;12;Low
Medicine;22;Male;PhD;37;Low
Education;28;Female;Master's;31;Low
Education;39;Male;Bachelor's;18;None
Biology;48;Female;High School;21;High
Medicine;56;Male;Master's;22;None
Business;59;Male;Master's;20;None
Arts;42;Male;PhD;36;Low
Biology;47;Male;Master's;23;None
Arts;32;Female;Master's;28;None
Psychology;55;Male;Bachelor's;2;None
Economics;48;Male;High School;34;Low
Business;40;Male;Master's;9;None
Biology;56;Female;Master's;13;High
Mechanical Engineering;43;Female;High School;15;Medium
Mechanical Engineering;39;Female;High School;4;Medium
Biology;36;Male;Master's;6;None
Arts;52;Male;Bachelor's;18;None
Mechanical Engineering;37;Female;Master's;20;High
Mechanical Engineering;21;Male;Bachelor's;17;None
Computer Science;21;Male;Master's;22;High
Computer Science;59;Female;Bachelor's;34;High
Business;29;Male;High School;22;Low
Arts;47;Female;High School;4;Medium
Computer Science;23;Male;High School;10;High
Economics;39;Female;High School;22;Medium
Psychology;37;Male;Master's;13;None
Medicine;53;Male;High School;15;High
Economics;37;Female;High School;2;Medium
Computer Science;33;Male;Bachelor's;30;High
Computer Science;45;Male;PhD;18;Low
Computer Science;39;Male;PhD;31;Low
Medicine;37;Male;Master's;27;High
Psychology;44;Male;Bachelor's;29;High
Business;47;Male;PhD;17;High
Biology;29;Male;PhD;5;Low
Biology;52;Male;Bachelor's;32;None
Computer Science;53;Male;High School;11;Medium
Medicine;46;Female;Master's;7;Low
Biology;39;Male;Master's;2;None
Medicine;42;Female;Bachelor's;28;None
Education;58;Female;High School;11;Medium
Medicine;23;Male;High School;24;Medium
Education;29;Female;Bachelor's;19;Medium
Biology;57;Male;Bachelor's;10;Low
Law;39;Female;Master's;36;None
Computer Science;55;Male;Master's;10;None
Education;37;Male;PhD;13;Medium
Law;29;Female;High School;39;High
Economics;58;Female;Master's;34;None
Economics;35;Male;Master's;6;High
Computer Science;26;Female;Bachelor's;4;Medium
Biology;38;Female;High School;7;None
Mechanical Engineering;49;Female;PhD;25;Medium
Economics;41;Female;PhD;21;Medium
Arts;35;Female;Master's;5;High
Medicine;33;Male;Master's;38;Low
Economics;50;Male;Bachelor's;27;None
Economics;41;Male;PhD;5;High
Arts;52;Male;Master's;5;None
Law;47;Male;PhD;34;Medium
Computer Science;28;Female;High School;21;Medium
Biology;22;Male;Master's;8;Medium
Education;30;Male;Master's;27;Medium
Education;26;Female;Master's;29;High
Arts;37;Female;Master's;34;High
Computer Science;48;Male;PhD;12;High
Economics;27;Male;Master's;39;None
Biology;30;Female;High School;26;None
Economics;39;Male;High School;25;None
Business;43;Female;Bachelor's;15;Low
Law;39;Female;High School;27;High
Law;22;Female;Bachelor's;11;Medium
Computer Science;50;Male;PhD;30;Low
Law;39;Female;PhD;23;None
Computer Science;53;Male;PhD;17;Medium
Computer Science;42;Female;Bachelor's;32;None
Mechanical Engineering;31;Male;Master's;21;None
Economics;41;Female;Master's;37;Medium
Law;21;Female;PhD;27;Medium
Business;39;Male;Master's;4;High
Education;48;Female;High School;5;Medium
Computer Science;46;Female;PhD;7;None
Mechanical Engineering;26;Male;PhD;23;Medium
Education;56;Female;Bachelor's;6;Low
Mechanical Engineering;46;Female;Bachelor's;0;Medium
Arts;24;Male;High School;3;Medium
Medicine;22;Male;High School;17;None
Arts;38;Female;Bachelor's;11;High
Law;29;Male;High School;32;Medium
Law;59;Male;Master's;34;Low
Computer Science;52;Male;Master's;28;Medium
Arts;30;Male;High School;17;Low
Economics;28;Male;Bachelor's;4;None
Arts;26;Female;PhD;14;None
Education;25;Female;Master's;16;High
Business;41;Female;Bachelor's;29;None
Mechanical Engineering;55;Female;High School;2;High
Law;20;Female;PhD;39;High
Business;42;Male;High School;29;Low
Law;27;Male;PhD;33;Low
Law;55;Female;Master's;18;High
Biology;34;Female;PhD;27;None
Education;54;Female;Master's;39;Medium
Education;32;Male;PhD;21;None
Psychology;51;Male;Bachelor's;6;Low
Law;54;Male;PhD;34;High
Computer Science;46;Female;Bachelor's;36;Medium
Mechanical Engineering;28;Female;High School;17;None
Computer Science;40;Male;PhD;36;High
Computer Science;32;Female;PhD;17;Medium
Computer Science;53;Male;Master's;1;Medium
Computer Science;54;Male;Bachelor's;21;High
Mechanical Engineering;48;Male;Master's;4;Low
Law;41;Female;Master's;26;High
Economics;25;Male;High School;8;Medium
Medicine;38;Male;PhD;10;Medium
Arts;52;Male;PhD;36;Low
Business;49;Male;PhD;14;Medium
Economics;59;Female;Master's;11;Medium
Computer Science;42;Female;PhD;30;None
Law;24;Male;Bachelor's;38;None
Education;32;Female;Bachelor's;20;Medium
Business;22;Female;PhD;28;None
Arts;26;Male;Bachelor's;22;None
Mechanical Engineering;49;Male;Bachelor's;28;Low
Biology;41;Male;Master's;10;None
Business;50;Male;Bachelor's;19;Medium
Psychology;55;Male;PhD;27;High
Mechanical Engineering;45;Male;High School;10;None
Biology;52;Female;Master's;27;Medium
Law;36;Male;High School;27;High
Medicine;49;Female;Master's;12;None
Education;23;Female;Master's;28;Low
Law;46;Female;Master's;1;Medium
Computer Science;51;Male;Bachelor's;23;None
Medicine;43;Female;Bachelor's;9;High
Biology;54;Male;Bachelor's;30;Low
Arts;54;Female;PhD;13;High
Economics;28;Male;PhD;28;Medium
Psychology;51;Female;Master's;13;High
Biology;22;Male;Master's;20;Medium
Arts;58;Male;Bachelor's;6;None
Law;46;Female;Bachelor's;28;Low
Medicine;54;Male;Master's;11;None
Mechanical Engineering;33;Male;PhD;9;Low
Education;59;Female;High School;21;Medium
Computer Science;44;Male;Bachelor's;26;Medium
Medicine;26;Male;Master's;3;None
Arts;56;Female;High School;37;None
Computer Science;34;Male;Master's;11;Low
Biology;55;Female;High School;5;Low
Economics;20;Female;PhD;38;Medium
Education;41;Female;Master's;34;Low
Mechanical Engineering;34;Female;PhD;27;Low
Mechanical Engineering;36;Female;Master's;18;Medium
Psychology;53;Female;Master's;20;Low
Arts;59;Male;PhD;11;None
Mechanical Engineering;51;Male;PhD;37;Medium
Law;40;Female;Bachelor's;29;Medium
Arts;24;Female;High School;3;High
Psychology;23;Male;Master's;5;None
Mechanical Engineering;27;Male;Bachelor's;37;None
Psychology;58;Female;PhD;19;None
Business;47;Female;Bachelor's;20;None
Medicine;21;Male;PhD;14;Medium
Psychology;57;Female;PhD;32;Medium
Mechanical Engineering;46;Male;High School;6;None
Psychology;49;Female;Bachelor's;11;None
Medicine;22;Male;Master's;36;None
Education;25;Male;Master's;16;High
Law;36;Female;Bachelor's;13;None
Education;38;Female;Bachelor's;13;High
Computer Science;27;Female;Bachelor's;1;Medium
Arts;55;Female;Bachelor's;14;Medium
Arts;36;Male;PhD;15;Low
Economics;48;Female;High School;23;Medium
Arts;55;Female;High School;25;High
Medicine;27;Male;PhD;8;Low
Mechanical Engineering;47;Male;PhD;37;None
Education;40;Female;Bachelor's;3;High
Mechanical Engineering;28;Female;PhD;23;High
Business;57;Male;High School;16;Low
Education;28;Male;High School;32;Medium
Business;59;Female;PhD;0;Low
Medicine;52;Female;High School;34;High
Business;37;Female;Master's;17;Low
Medicine;27;Female;PhD;2;Medium
Mechanical Engineering;56;Female;High School;9;Low
Medicine;59;Female;PhD;6;None
Biology;58;Female;Bachelor's;11;Medium
Education;32;Female;Bachelor's;31;None
Medicine;37;Male;Master's;39;Medium
Mechanical Engineering;23;Female;Master's;16;High
Mechanical Engineering;21;Female;PhD;14;Low
Medicine;40;Female;Master's;39;Medium
Arts;29;Male;PhD;34;None
Biology;31;Female;PhD;39;Medium
Psychology;54;Male;Bachelor's;11;Medium
Mechanical Engineering;38;Female;PhD;12;High
Biology;53;Female;High School;11;High
Computer Science;32;Female;Master's;18;Low
Arts;34;Male;High School;29;None
Economics;24;Male;PhD;30;Low
Medicine;20;Male;Master's;36;None
Psychology;57;Female;High School;13;High
Law;54;Male;Master's;18;High
Business;41;Male;Master's;21;None
Arts;43;Female;PhD;30;High
Psychology;34;Male;PhD;26;High
Education;27;Male;High School;17;High
Business;45;Female;PhD;12;Medium
Economics;45;Male;Master's;35;None
Education;44;Female;High School;38;High
Law;36;Male;Master's;23;High
Education;43;Female;PhD;6;High
Law;56;Male;High School;3;Medium
Psychology;31;Female;High School;31;Medium
Economics;43;Female;High School;29;High
Law;35;Female;Master's;19;Medium
Law;55;Female;Bachelor's;22;Low
Medicine;41;Male;Bachelor's;20;Low
Psychology;56;Male;Master's;5;Low
Psychology;20;Female;Bachelor's;21;None
Business;32;Male;PhD;22;High
Mechanical Engineering;24;Male;Master's;30;Medium
Economics;27;Female;PhD;37;Medium
Business;33;Male;Master's;35;High
Education;49;Male;High School;27;None
Arts;57;Female;PhD;25;None
Arts;28;Male;Bachelor's;38;None
Medicine;21;Female;High School;14;None
Law;43;Female;Bachelor's;19;Medium
Psychology;24;Female;Bachelor's;29;Low
Business;49;Female;Bachelor's;7;High
Business;28;Female;High School;31;High
Psychology;41;Male;PhD;4;Medium
Psychology;21;Female;PhD;38;None
Arts;40;Female;High School;6;High
Economics;46;Male;High School;9;High
Medicine;48;Male;PhD;6;High
Computer Science;27;Male;High School;18;Low
Economics;48;Female;PhD;13;Low
Arts;39;Male;High School;39;None
Mechanical Engineering;55;Male;PhD;13;Medium
Biology;41;Male;Bachelor's;35;Medium
Psychology;41;Female;High School;35;Low
Mechanical Engineering;57;Male;Bachelor's;21;None
Medicine;26;Female;Bachelor's;36;Medium
Business;56;Male;Bachelor's;9;High
Business;51;Male;High School;39;Medium
Mechanical Engineering;43;Female;Bachelor's;27;Low
Economics;29;Female;High School;38;None
Education;25;Male;Master's;37;Medium
Education;37;Male;Bachelor's;32;None
Education;57;Female;Master's;36;Medium
Medicine;27;Female;Bachelor's;34;Low
Psychology;33;Male;Bachelor's;5;High
Law;52;Female;High School;4;Medium
Arts;23;Male;High School;28;Low
Economics;43;Female;High School;33;None
Mechanical Engineering;27;Female;Master's;8;Medium
Education;21;Male;PhD;10;Low
Business;26;Male;Master's;31;High
Psychology;59;Male;Master's;25;Low
Law;57;Female;Bachelor's;36;None
Education;36;Male;Bachelor's;4;High
Biology;40;Female;PhD;5;High
Arts;56;Female;High School;28;High
Biology;59;Male;High School;20;Medium
Law;21;Female;PhD;17;None
Economics;36;Male;Bachelor's;23;Medium
Psychology;41;Male;PhD;34;High
Mechanical Engineering;27;Male;PhD;23;Low
Law;38;Female;Bachelor's;9;None
Education;26;Male;Bachelor's;18;Low
Psychology;33;Male;Master's;9;Medium
Computer Science;46;Male;PhD;18;High
Medicine;28;Male;High School;29;High
Business;51;Male;PhD;13;High
Economics;54;Male;PhD;32;Medium
Mechanical Engineering;42;Male;Bachelor's;36;Low
Computer Science;21;Female;High School;6;Medium
Arts;24;Male;PhD;21;Medium
Medicine;53;Male;Bachelor's;32;Medium
Psychology;47;Male;Bachelor's;22;Low
Business;34;Male;Bachelor's;36;High
Computer Science;28;Male;PhD;13;High
Computer Science;42;Female;Bachelor's;14;Low
Mechanical Engineering;21;Female;PhD;34;Medium
Law;29;Female;High School;3;Low
Law;22;Male;Master's;22;Low
Computer Science;30;Male;PhD;9;High
Medicine;33;Female;PhD;1;None
Biology;52;Male;High School;37;Low
Business;38;Female;Bachelor's;30;Medium
Business;33;Male;Master's;36;Medium
Psychology;59;Male;High School;38;High
Law;50;Male;PhD;3;High
Psychology;33;Female;Bachelor's;0;None
Computer Science;23;Female;Bachelor's;28;Low
Psychology;59;Male;Master's;31;None
Education;28;Male;Bachelor's;10;Low
Mechanical Engineering;54;Male;High School;32;Low
Economics;55;Female;Master's;35;Low
Computer Science;30;Female;PhD;12;High
Arts;47;Female;PhD;12;Low
Medicine;30;Female;Master's;30;None
Psychology;52;Male;PhD;22;High
Biology;43;Female;Master's;36;Low
Law;32;Male;High School;34;Low
Psychology;37;Male;High School;4;High
Economics;58;Female;Master's;30;Medium
Arts;50;Female;High School;34;High
Mechanical Engineering;40;Female;PhD;25;Medium
Psychology;32;Male;PhD;30;High
Medicine;58;Male;Master's;32;High
Psychology;47;Male;PhD;28;High
Law;58;Male;Master's;17;Low
Medicine;22;Male;PhD;8;Low
Education;52;Male;Master's;16;Low
Business;28;Male;High School;31;Medium
Psychology;31;Male;Bachelor's;6;None
Biology;31;Male;Bachelor's;5;None
Biology;41;Female;High School;29;High
Computer Science;58;Female;Bachelor's;27;None
Psychology;26;Male;PhD;33;Medium
Medicine;36;Male;PhD;2;Low
Arts;24;Female;High School;27;High
Medicine;56;Male;Master's;30;Low
Psychology;59;Male;Bachelor's;15;Medium
Computer Science;21;Male;High School;19;High
Mechanical Engineering;35;Male;PhD;20;Low
Mechanical Engineering;23;Male;Bachelor's;20;Low
Biology;35;Female;Bachelor's;18;High
Computer Science;25;Female;PhD;30;None
Education;58;Female;Master's;32;Low
Business;23;Female;Bachelor's;34;Medium
Mechanical Engineering;35;Male;Master's;8;Medium
Education;36;Female;Master's;9;Low
Business;23;Female;Master's;26;High
Law;26;Male;Master's;31;Medium
Education;56;Female;High School;13;Medium
Medicine;28;Female;Master's;29;None
Education;55;Female;PhD;35;Low
Business;43;Male;Master's;29;None
Medicine;50;Male;PhD;29;None
Arts;45;Male;Bachelor's;33;Low
Education;30;Female;Master's;10;Medium
Education;47;Female;High School;7;Medium
Business;45;Male;PhD;2;High
Psychology;45;Male;Bachelor's;33;None
Education;45;Female;High School;31;None
Economics;50;Female;Master's;18;Medium
Arts;20;Female;High School;14;High
Medicine;30;Female;PhD;4;Low
Law;36;Female;High School;24;None
Computer Science;57;Female;High School;27;Low
Economics;59;Female;PhD;30;Low
Business;54;Female;Bachelor's;22;Low
Psychology;48;Male;PhD;6;High
Psychology;40;Female;Bachelor's;14;Low
Arts;59;Male;High School;11;High
Economics;47;Female;Bachelor's;6;Medium
Arts;40;Male;High School;7;High
Psychology;24;Female;High School;23;High
Mechanical Engineering;46;Female;Bachelor's;39;High
Psychology;55;Male;PhD;29;None
Business;50;Male;PhD;13;Medium
Education;45;Female;High School;35;None
Mechanical Engineering;55;Male;High School;34;None
Education;52;Male;Master's;30;None
Business;50;Female;Master's;39;High
Arts;57;Female;PhD;39;High
Computer Science;22;Female;High School;38;None
Psychology;22;Female;PhD;31;Medium
Arts;32;Female;High School;31;Medium
Psychology;26;Female;PhD;20;Medium
Economics;56;Female;High School;36;None
Psychology;27;Male;Bachelor's;5;None
Psychology;24;Female;PhD;17;Medium
Law;47;Male;Bachelor's;19;None
Computer Science;35;Female;High School;15;Low
Arts;24;Male;Master's;13;None
Arts;26;Male;High School;4;None
Medicine;40;Female;Master's;2;None
Business;57;Female;Master's;16;High
Education;26;Female;High School;8;None
Psychology;40;Male;PhD;32;None
Mechanical Engineering;56;Male;Master's;18;High
Law;22;Male;PhD;7;Medium
Psychology;54;Male;Master's;38;None
Business;52;Male;High School;5;None
Arts;46;Male;PhD;24;None
Economics;55;Female;PhD;25;High
Economics;28;Female;Master's;27;Low
Computer Science;32;Male;PhD;16;None
Computer Science;42;Female;High School;16;Medium
Psychology;39;Male;PhD;31;None
Psychology;51;Female;High School;30;None
Psychology;38;Male;Master's;5;Low
Medicine;59;Female;PhD;23;High
Education;42;Male;PhD;9;Low
Law;46;Female;Bachelor's;4;Low
Law;38;Male;High School;34;High
Arts;35;Male;High School;3;High
Psychology;34;Male;High School;31;None
Medicine;51;Female;Master's;6;High
Psychology;35;Male;Master's;30;High
Computer Science;46;Female;High School;32;Medium
Mechanical Engineering;46;Female;High School;35;Low
Economics;45;Female;Master's;8;None
Computer Science;52;Female;Bachelor's;31;None
Economics;55;Male;High School;6;None
Computer Science;39;Female;Bachelor's;13;None
Arts;35;Male;Master's;21;Low
Medicine;59;Female;Master's;28;Low
Law;32;Female;Bachelor's;39;High
Computer Science;50;Female;Bachelor's;1;Low
Psychology;26;Female;Master's;18;None
Education;40;Male;PhD;16;Low
Business;52;Female;Master's;34;Low
Medicine;42;Female;PhD;23;Low
Computer Science;23;Male;PhD;21;Medium
Psychology;25;Female;High School;13;Medium
Mechanical Engineering;55;Female;PhD;12;Medium
Computer Science;44;Male;PhD;27;None
Medicine;31;Male;High School;25;Low
Business;46;Female;Bachelor's;35;Low
Biology;23;Male;Bachelor's;29;Medium
Mechanical Engineering;36;Female;High School;13;Medium
Mechanical Engineering;31;Male;Bachelor's;14;Medium
Arts;41;Male;High School;25;Medium
Medicine;40;Male;Master's;5;None
Education;25;Male;High School;5;Low
Computer Science;40;Female;PhD;20;Medium
Psychology;21;Female;Master's;3;High
Law;26;Male;Master's;16;Medium
Education;20;Male;High School;30;None
Law;52;Female;Bachelor's;28;None
Economics;47;Male;PhD;24;Medium
Psychology;46;Female;Bachelor's;32;Low
Computer Science;25;Female;High School;0;Medium
Law;45;Male;Bachelor's;38;Low
Mechanical Engineering;42;Female;High School;29;High
Psychology;32;Male;High School;35;High
Arts;59;Male;PhD;11;Medium
Law;42;Male;Master's;16;Medium
Arts;31;Female;PhD;10;Low
Business;27;Female;Bachelor's;29;High
Business;41;Male;High School;30;High
Mechanical Engineering;32;Female;Master's;5;High
Business;29;Male;Bachelor's;15;None
Economics;26;Male;High School;22;Low
Education;49;Male;Master's;6;Low
Education;42;Male;Bachelor's;25;Low
Psychology;53;Male;PhD;30;Medium
Computer Science;26;Male;PhD;34;None
Arts;22;Female;High School;35;None
Economics;54;Female;Master's;14;None
Education;21;Male;PhD;2;None
Arts;53;Male;High School;29;Low
Biology;26;Male;PhD;26;Medium
Computer Science;21;Male;Master's;12;Medium
Economics;53;Male;PhD;20;None
Computer Science;59;Female;High School;17;Medium
Biology;56;Male;Bachelor's;25;None
Economics;43;Female;Bachelor's;23;High
Computer Science;22;Female;Master's;38;Low
Education;43;Male;Bachelor's;26;None
Arts;54;Female;Master's;0;High
Mechanical Engineering;33;Male;High School;1;None
Arts;49;Male;PhD;34;Medium
Mechanical Engineering;52;Male;High School;27;Low
Biology;36;Male;High School;2;Low
Law;34;Female;High School;3;None
Arts;47;Female;High School;39;Medium
Economics;51;Male;PhD;10;None
Education;29;Male;Master's;28;Medium
Biology;53;Female;Master's;9;High
Economics;45;Female;High School;6;High
Mechanical Engineering;21;Male;High School;1;High
Arts;24;Female;Master's;13;Medium
Economics;45;Male;Master's;3;Low
Biology;44;Female;Master's;29;High
Business;50;Male;PhD;20;High
Psychology;58;Female;High School;1;Medium
Education;42;Female;High School;16;Low
Psychology;49;Male;PhD;24;High
Computer Science;40;Female;Master's;36;None
Biology;27;Female;Master's;22;High
Biology;26;Male;High School;22;High
Mechanical Engineering;36;Female;Bachelor's;37;High
Computer Science;40;Female;PhD;36;Medium
Psychology;22;Female;Bachelor's;21;Medium
Law;42;Female;PhD;39;High
Biology;57;Female;PhD;12;None
Biology;44;Female;Master's;29;None
Arts;58;Male;PhD;4;High
Arts;46;Male;Master's;28;Medium
Biology;48;Female;Bachelor's;1;Low
Psychology;56;Female;Master's;13;Low
Arts;42;Male;Master's;26;Low
Biology;39;Male;PhD;30;None
Business;31;Male;Bachelor's;13;None
Computer Science;59;Male;PhD;27;None
Education;37;Female;High School;38;Low
Law;22;Male;Master's;4;None
Mechanical Engineering;57;Female;PhD;16;High
Arts;37;Male;PhD;28;Medium
Education;35;Female;Bachelor's;21;Low
Computer Science;31;Male;High School;6;None
Arts;32;Female;PhD;5;Medium
Computer Science;22;Female;Master's;7;Medium
Business;29;Female;Master's;34;Low
Education;34;Female;PhD;34;None
Biology;35;Male;High School;3;Low
Education;21;Female;Bachelor's;18;High
Arts;25;Female;Bachelor's;0;None
Arts;42;Male;Bachelor's;28;None
Medicine;58;Male;PhD;21;High
Economics;28;Female;High School;5;High
Computer Science;59;Male;Bachelor's;30;High
Psychology;26;Female;PhD;22;None
Business;32;Female;High School;5;Medium
Economics;28;Male;High School;7;High
Law;39;Female;PhD;23;High
Business;22;Female;High School;30;None
Economics;23;Female;Bachelor's;13;High
Biology;29;Female;Master's;37;High
Economics;33;Male;PhD;15;Medium
Mechanical Engineering;32;Female;Master's;35;Low
Law;24;Female;High School;2;Medium
Business;42;Male;Master's;9;Medium
Biology;24;Female;Master's;9;None
Law;22;Male;High School;24;None
Business;26;Male;Bachelor's;20;High
Economics;26;Female;Master's;26;High
Medicine;24;Female;PhD;35;None
Economics;43;Female;Bachelor's;38;Medium
Education;57;Male;PhD;29;None
Business;43;Male;Bachelor's;6;High
Business;42;Male;High School;25;Low
Economics;38;Male;PhD;22;None
Biology;52;Female;PhD;18;None
Biology;41;Male;Bachelor's;36;None
Economics;51;Male;Master's;37;High
Economics;24;Male;High School;23;None
Computer Science;23;Female;PhD;37;High
Medicine;40;Male;PhD;37;High
Biology;55;Male;Bachelor's;3;Low
Law;39;Female;High School;31;None
Biology;20;Female;High School;24;Medium
Biology;36;Male;Master's;32;Low
Education;56;Male;High School;30;None
Economics;51;Female;High School;33;Low
Psychology;58;Female;PhD;23;Medium
Arts;24;Female;High School;34;Low
Computer Science;42;Male;Bachelor's;4;Low
Arts;41;Male;Bachelor's;38;Low
Economics;56;Male;PhD;30;None
Arts;48;Female;PhD;5;Medium
Biology;31;Female;Bachelor's;29;Low
Biology;58;Male;Master's;23;None
Education;42;Female;Bachelor's;35;None
Business;47;Female;Bachelor's;23;Medium
Business;36;Male;Bachelor's;3;None
Computer Science;52;Female;PhD;6;Medium
Psychology;30;Male;High School;28;None
Law;52;Male;Bachelor's;27;Medium
Medicine;30;Male;High School;37;High
Arts;44;Female;Master's;8;High
Education;21;Female;High School;2;None
Business;24;Female;Master's;26;Medium
Law;49;Male;Master's;2;None
Medicine;53;Male;Master's;6;Medium
Law;32;Male;High School;8;None
Business;57;Female;PhD;7;Low
Economics;59;Male;High School;11;High
Psychology;51;Female;High School;10;None
Arts;38;Female;Bachelor's;36;None
Education;30;Male;High School;7;High
Mechanical Engineering;41;Female;Bachelor's;6;None
Law;38;Female;Bachelor's;6;None
Business;39;Female;Master's;6;Low
Biology;49;Male;High School;31;Medium
Mechanical Engineering;46;Female;Bachelor's;20;Low
Arts;49;Male;High School;0;None
Biology;52;Male;High School;1;None
Law;22;Male;High School;2;Medium
Education;45;Female;High School;19;Low
Computer Science;22;Female;High School;15;Medium
Computer Science;55;Male;High School;31;Low
Arts;40;Female;Master's;28;None
Business;24;Female;PhD;12;Low
Economics;34;Female;PhD;13;Low
Arts;38;Female;High School;12;Low
Mechanical Engineering;36;Male;Bachelor's;5;Medium
Law;32;Male;Master's;23;Low
Mechanical Engineering;32;Male;Bachelor's;14;High
Mechanical Engineering;53;Male;High School;27;Medium
Computer Science;58;Male;Master's;34;High
Arts;49;Male;Bachelor's;21;High
Biology;56;Female;Bachelor's;31;Medium
Economics;42;Female;Bachelor's;20;None
Biology;31;Female;High School;29;Low
Law;30;Male;PhD;20;None
Mechanical Engineering;41;Male;Master's;30;High
Business;28;Male;Master's;18;High
Mechanical Engineering;57;Male;PhD;34;Medium
Biology;49;Male;Bachelor's;36;Low
Business;58;Male;Master's;23;Medium
Law;24;Female;Bachelor's;16;Medium
Psychology;41;Male;PhD;1;High
Law;34;Male;PhD;14;None
Business;21;Male;Bachelor's;21;None
Biology;49;Female;Master's;15;Low
Psychology;57;Male;PhD;10;High
Arts;54;Female;Bachelor's;11;None
Mechanical Engineering;48;Female;PhD;8;Medium
Biology;39;Female;High School;5;None
Biology;37;Male;High School;11;High
Education;36;Female;Bachelor's;5;Low
Medicine;22;Male;PhD;33;Medium
Biology;49;Female;High School;20;High
Arts;27;Female;PhD;26;None
Arts;54;Male;PhD;30;None
Medicine;55;Male;High School;11;Low
Law;35;Female;Bachelor's;0;Low
Psychology;44;Male;PhD;34;Medium
Biology;43;Female;Bachelor's;10;Medium
Law;39;Male;PhD;21;High
Law;23;Female;High School;7;Low
Education;28;Female;Master's;39;None
Law;51;Female;Bachelor's;27;Medium
Law;30;Female;High School;1;High
Psychology;36;Female;Bachelor's;1;Medium
Medicine;50;Male;PhD;21;Low
Arts;21;Male;Bachelor's;17;Medium
Medicine;31;Female;High School;25;Medium
Biology;23;Male;High School;24;Medium
Arts;41;Female;Master's;12;Low
Mechanical Engineering;52;Male;Bachelor's;39;High
Arts;59;Female;Bachelor's;28;High
Arts;50;Male;Master's;29;Medium
Biology;59;Female;Master's;32;High
Law;47;Male;Master's;10;None
Economics;50;Male;High School;19;None
Computer Science;55;Female;Master's;3;Low
Business;21;Male;Bachelor's;23;High
Computer Science;33;Male;Master's;5;None
Mechanical Engineering;57;Female;High School;11;Low
Arts;20;Female;Master's;0;Medium
Psychology;40;Male;Bachelor's;19;Medium
Economics;38;Female;High School;18;Medium
Medicine;57;Female;Master's;2;None
Computer Science;28;Male;PhD;0;None
Economics;56;Male;Bachelor's;21;High
Psychology;40;Female;Master's;9;None
Business;51;Female;High School;38;None
Arts;58;Female;Master's;35;High
Computer Science;38;Male;Bachelor's;23;Medium
Psychology;38;Male;High School;28;High
Medicine;51;Female;PhD;1;High
Medicine;23;Female;PhD;32;None
Education;22;Male;High School;3;Medium
Computer Science;54;Female;High School;8;Medium
Education;29;Female;PhD;24;Medium
Arts;32;Male;PhD;39;Low
Economics;48;Female;PhD;15;High
Psychology;38;Male;PhD;12;Medium
